traceIndex,rxPower,beginTrace(s),endTrace(s)
0,-48.48349245546345,0.0,1.0
1,-48.36686478394181,1.0,2.0
2,-47.93230451159603,2.0,3.0
3,-47.84090957698103,3.0,4.0
4,-48.080783054453676,4.0,5.0
5,-48.09923128387024,5.0,6.0
6,-47.93718599662178,6.0,7.0
7,-47.974925483004085,7.0,8.0
8,-47.95045147363203,8.0,9.0
9,-47.873606678342384,9.0,10.0
10,-47.80522448252378,10.0,11.0
11,-47.7933595444471,11.0,12.0
12,-47.831471244790166,12.0,13.0
13,-48.00728823201459,13.0,14.0
14,-48.03302667196361,14.0,15.0
15,-48.12721036646529,15.0,16.0
16,-48.34922088568092,16.0,17.0
17,-48.26190176668865,17.0,18.0
18,-48.2911101784572,18.0,19.0
19,-48.591521783604406,19.0,20.0
20,-48.42435073300942,20.0,21.0
21,-48.81391624857052,21.0,22.0
22,-48.571548942003744,22.0,23.0
23,-49.02378612457008,23.0,24.0
24,-48.7674668643037,24.0,25.0
25,-49.152515386682,25.0,26.0
26,-49.18683392774764,26.0,27.0
27,-49.12700380963118,27.0,28.0
28,-49.51684981481223,28.0,29.0
29,-49.47636420386915,29.0,30.0
30,-49.40478907536226,30.0,31.0
31,-49.70283696107866,31.0,32.0
32,-49.900402568952885,32.0,33.0
33,-49.693790612169096,33.0,34.0
34,-49.82248837209232,34.0,35.0
35,-50.44205904486452,35.0,36.0
36,-50.17670675195646,36.0,37.0
37,-50.02114667141895,37.0,38.0
38,-50.46621331697544,38.0,39.0
39,-50.84896154519487,39.0,40.0
40,-50.50987652683648,40.0,41.0
41,-50.10128183970019,41.0,42.0
42,-50.63614122046448,42.0,43.0
43,-51.40994340723964,43.0,44.0
44,-51.31793290041006,44.0,45.0
45,-50.64632880794868,45.0,46.0
46,-50.705944563835686,46.0,47.0
47,-51.54608580148201,47.0,48.0
48,-51.88259314527886,48.0,49.0
49,-52.01313601396171,49.0,50.0
50,-50.97133412455875,50.0,51.0
51,-50.8880452547924,51.0,52.0
52,-51.64565963019183,52.0,53.0
53,-52.3383686428742,53.0,54.0
54,-52.47195544999691,54.0,55.0
55,-52.002257120178484,55.0,56.0
56,-51.55318754392326,56.0,57.0
57,-52.638703120986875,57.0,58.0
58,-51.95692083831125,58.0,59.0
59,-52.69329806077039,59.0,60.0
60,-52.88954073053439,60.0,61.0
61,-53.548067101569345,61.0,62.0
62,-53.547245151200656,62.0,63.0
63,-53.19949013473274,63.0,64.0
64,-52.76022793010115,64.0,65.0
65,-52.371668150606126,65.0,66.0
66,-52.28235371813945,66.0,67.0
67,-52.21470322261531,67.0,68.0
68,-52.102589184960124,68.0,69.0
69,-52.059084096307345,69.0,70.0
70,-52.19289373699887,70.0,71.0
71,-52.311323652026005,71.0,72.0
72,-52.64771456345292,72.0,73.0
73,-52.705981721172094,73.0,74.0
74,-53.16002997981076,74.0,75.0
75,-53.68325934644034,75.0,76.0
76,-53.660768610640005,76.0,77.0
77,-53.6694430759443,77.0,78.0
78,-53.25958194793972,78.0,79.0
79,-52.90910609047327,79.0,80.0
80,-52.858675506384145,80.0,81.0
81,-52.68792946510409,81.0,82.0
82,-52.48483162182019,82.0,83.0
83,-52.438457462309714,83.0,84.0
84,-52.57096978517362,84.0,85.0
85,-52.61181717515397,85.0,86.0
86,-52.56213175939452,86.0,87.0
87,-52.856536424742416,87.0,88.0
88,-53.366376133181234,88.0,89.0
89,-53.434110453678045,89.0,90.0
90,-53.865702169807065,90.0,91.0
91,-54.0271073696743,91.0,92.0
92,-54.15925459112546,92.0,93.0
93,-53.8195967766255,93.0,94.0
94,-53.79164706300179,94.0,95.0
95,-53.390774277157135,95.0,96.0
96,-53.12788584527796,96.0,97.0
97,-53.201454790682305,97.0,98.0
98,-53.09608894477192,98.0,99.0
99,-53.09590257611117,99.0,100.0
100,-53.1389431324985,100.0,101.0
101,-53.24178251550627,101.0,102.0
102,-53.375448873129656,102.0,103.0
103,-53.589418757425804,103.0,104.0
104,-53.65213224284747,104.0,105.0
105,-53.90414581016449,105.0,106.0
106,-53.9526307302816,106.0,107.0
107,-54.38877796924609,107.0,108.0
108,-54.39956437906211,108.0,109.0
109,-54.71089154595148,109.0,110.0
110,-54.63006622468026,110.0,111.0
111,-54.23701443743312,111.0,112.0
112,-54.26449741480005,112.0,113.0
113,-54.090864271280395,113.0,114.0
114,-54.24860115624462,114.0,115.0
115,-54.19695317213508,115.0,116.0
116,-54.27086393193875,116.0,117.0
117,-54.1344766577223,117.0,118.0
118,-54.16332410780463,118.0,119.0
119,-54.219228897595556,119.0,120.0
120,-54.21557439911895,120.0,121.0
121,-54.17151571323237,121.0,122.0
122,-54.168713842155455,122.0,123.0
123,-54.13626308763202,123.0,124.0
124,-54.28457925055115,124.0,125.0
125,-54.38454936854596,125.0,126.0
126,-54.54717382970094,126.0,127.0
127,-54.990823614873094,127.0,128.0
128,-55.02977913993854,128.0,129.0
129,-55.30913581851854,129.0,130.0
130,-70.46095295711318,130.0,131.0
131,-70.51519378117213,131.0,132.0
132,-70.55670728539134,132.0,133.0
133,-70.53821949651345,133.0,134.0
134,-72.7189380070245,134.0,135.0
135,-73.18544481397764,135.0,136.0
136,-73.22035781397766,136.0,137.0
137,-73.25541481397767,137.0,138.0
138,-72.9909268304049,138.0,139.0
139,-73.0262668304049,139.0,140.0
140,-73.06174283040485,140.0,141.0
141,-72.77228812715416,141.0,142.0
142,-72.80801712715413,142.0,143.0
143,-72.8438521271542,143.0,144.0
144,-72.62284283111768,144.0,145.0
145,-72.65889983111761,145.0,146.0
146,-72.69505483111764,146.0,147.0
147,-72.58977028150001,147.0,148.0
148,-72.6261172815,148.0,149.0
149,-72.6625552815,149.0,150.0
150,-72.62726608754328,150.0,151.0
151,-72.66385708754329,151.0,152.0
152,-72.70051608754328,152.0,153.0
153,-72.73725108754327,153.0,154.0
154,-72.78084165776299,154.0,155.0
155,-72.81769865776297,155.0,156.0
156,-72.854609657763,156.0,157.0
157,-72.96559962884527,157.0,158.0
158,-73.00260962884528,158.0,159.0
159,-73.03966562884526,159.0,160.0
160,-73.07676062884525,160.0,161.0
161,-73.27941560237974,161.0,162.0
162,-73.31657860237975,162.0,163.0
163,-73.3537716023798,163.0,164.0
164,-73.38505673468674,164.0,165.0
165,-73.65163186147059,165.0,166.0
166,-73.68888586147057,166.0,167.0
167,-73.72616286147058,167.0,168.0
168,-73.76345586147056,168.0,169.0
169,-74.12532509411655,169.0,170.0
170,-inf,170.0,171.0
171,-inf,171.0,172.0
172,-inf,172.0,173.0
173,-inf,173.0,174.0
174,-inf,174.0,175.0
175,-inf,175.0,176.0
176,-inf,176.0,177.0
177,-inf,177.0,178.0
178,-inf,178.0,179.0
179,-inf,179.0,180.0
180,-inf,180.0,181.0
181,-inf,181.0,182.0
182,-inf,182.0,183.0
183,-inf,183.0,184.0
184,-inf,184.0,185.0
185,-inf,185.0,186.0
186,-inf,186.0,187.0
187,-inf,187.0,188.0
188,-inf,188.0,189.0
189,-inf,189.0,190.0
190,-inf,190.0,191.0
191,-inf,191.0,192.0
192,-inf,192.0,193.0
193,-inf,193.0,194.0
194,-inf,194.0,195.0
195,-inf,195.0,196.0
196,-inf,196.0,197.0
197,-inf,197.0,198.0
198,-inf,198.0,199.0
199,-inf,199.0,200.0
